Designator,Footprint,Helper,LCSC Part #
"H3,H3,H3,H3,H3,H3,H3,H3,H3,H4,H4,H4,H4,H4,H4,H4,H4,H4,H1,H1,H1,H1,H1,H1,H1,H1,H1,H2,H2,H2,H2,H2,H2,H2,H2,H2,H4,H3,H2,H1",MountingHole_2.1mm,MountingHole,
"R2,R2,R2,R2,R2,R2,R2,R2,R2,R1,R1,R1,R1,R1,R1,R1,R1,R1,R2,R1",RES_0805,470R,
"J7,J7,J7,J7,J7,J7,J7,J7,J7,J7",PinHeader_1x03_P2.54mm_Vertical,-12V,
"J6,J6,J6,J6,J6,J6,J6,J6,J6,J6",PinHeader_1x03_P2.54mm_Vertical,GND,
"J5,J5,J5,J5,J5,J5,J5,J5,J5,J5",PinHeader_1x03_P2.54mm_Vertical,+12V,
"J4,J4,J4,J4,J4,J4,J4,J4,J4,J4",PinHeader_1x03_P2.54mm_Vertical,+5V,
"J3,J3,J3,J3,J3,J3,J3,J3,J3,J3",PinHeader_1x03_P2.54mm_Vertical,CV,
"J1,J1,J1,J1,J1,J1,J1,J1,J1,J1",IDC-Header_2x08_P2.54mm_Vertical,Conn_02x08_Odd_Even,
"J2,J2,J2,J2,J2,J2,J2,J2,J2,J2",PinHeader_1x03_P2.54mm_Vertical,GATE,
"FB3,FB3,FB3,FB3,FB3,FB3,FB3,FB3,FB3,FB2,FB2,FB2,FB2,FB2,FB2,FB2,FB2,FB2,FB1,FB1,FB1,FB1,FB1,FB1,FB1,FB1,FB1,FB3,FB2,FB1",FERRIT_0805,600R @100MHz,
"F2,F2,F2,F2,F2,F2,F2,F2,F2,F1,F1,F1,F1,F1,F1,F1,F1,F1,F3,F3,F3,F3,F3,F3,F3,F3,F3,F3,F2,F1",Fuse_1206_3216Metric,350mA 24V,
"D4,D4,D4,D4,D4,D4,D4,D4,D4,D5,D5,D5,D5,D5,D5,D5,D5,D5,D5,D4",D_SOD-123,12V,
"D2,D2,D2,D2,D2,D2,D2,D2,D2,D1,D1,D1,D1,D1,D1,D1,D1,D1,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D2,D1",D_SOD-123,5.1V,
"D7,D7,D7,D7,D7,D7,D7,D7,D7,D6,D6,D6,D6,D6,D6,D6,D6,D6,D8,D8,D8,D8,D8,D8,D8,D8,D8,D8,D7,D6",LED_0805,LED,
"C8,C8,C8,C8,C8,C8,C8,C8,C8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C7,C7,C7,C7,C7,C7,C7,C7,C7,C9,C8,C7",CAP_0805,100n,
"R4,R4,R4,R4,R4,R4,R4,R4,R4,R3,R3,R3,R3,R3,R3,R3,R3,R3,R5,R5,R5,R5,R5,R5,R5,R5,R5,R5,R4,R3",RES_0805,10k,
"C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C2,C1",CAP_0805,10u,
"C4,C4,C4,C4,C4,C4,C4,C4,C4,C6,C6,C6,C6,C6,C6,C6,C6,C6,C5,C5,C5,C5,C5,C5,C5,C5,C5,C6,C5,C4",CAP_0805,1u,
